uid,ean_13,name,cost,cost_member,denomination,deposit,group,description
000,0020188060139,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy","Tofutti Milk-Free Sour Cream"
001,0020188060139,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy","Tofutti Milk-Free Sour Cream"
002,0000000000000,"tfrky swt itln saus",4.99,4.99,usd,0.00,"dairy","Tofurky Plant-Based Original Sausage (Italian)"
003,0000000000000,"tfrky swt itln saus",4.99,4.99,usd,0.00,"dairy","Tofurky Plant-Based Original Sausage (Italian)"
004,0000000000000,"tfrky swt itln saus",4.99,4.99,usd,0.00,"dairy","Tofurky Plant-Based Original Sausage (Italian)"
005,0896165002436,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Five Star Foodies Burger Artichoke French Herb 7.5 Ounce"
006,0896165002436,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Five Star Foodies Burger Artichoke French Herb 7.5 Ounce"
007,0000000000000,"mrkt pepper strips",2.29,2.29,usd,0.00,"frozen food","Frozen Tri-Color Bell-Pepper Strips"
008,0000000000000,"mrkt pepper strips",2.29,2.29,usd,0.00,"frozen food","Frozen Tri-Color Bell-Pepper Strips"
009,0000000000000,"msf chorizo crumbles",4.49,4.49,usd,0.00,"frozen food","Morningstar Farms Chorizo Crumbles"
010,0000000000000,"foodies tand art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: Tandoori (Frozen)"
011,0000000000000,"foodies tand art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: Tandoori (Frozen)"
012,0855099007269,"alphfd pizza pt pie",4.50,4.50,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Pizz"
013,0855099007269,"alphfd bff ck pt pie",4.50,4.50,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
014,0855099007269,"alphfd pizza pt pie",4.50,4.50,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Pizz"
015,0855099007269,"alphfd bff ck pt pie",4.50,4.50,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
016,0000000000000,"b&j nd mnt ch cookie",5.79,5.79,usd,0.00,"frozen food",""
017,0896165002436,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Five Star Foodies Burger Artichoke French Herb 7.5 Ounce"
018,0000000000000,"stahlbush cl clflwr",2.99,2.50,usd,0.00,"frozen food",""
019,0000000000000,"stahlbush cl clflwr",2.99,2.50,usd,0.00,"frozen food",""
020,0000000000000,"stahl colrfl swt pot",2.99,2.50,usd,0.00,"frozen food",""
021,0000000000000,"stahl colrfl swt pot",2.99,2.50,usd,0.00,"frozen food",""
022,0000000000000,"stahlbush sweet pot",2.99,2.50,usd,0.00,"frozen food",""
023,0000000000000,"stahlbush sweet pot",2.99,2.50,usd,0.00,"frozen food",""
024,0000000000000,"plr dt cream 2l",1.79,0.98,usd,0.00,"grocery","Polar Diet Cream Soda (2L)"
025,0000000000000,"mrkt crnchy pnt bttr",2.99,2.99,usd,0.00,"grocery",""
026,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
027,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
028,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
029,0000000000000,"snyds jlp prtz pcs",3.89,3.89,usd,0.00,"grocery",""
030,0000000000000,"snyds bflo wng pcs",3.89,3.89,usd,0.00,"grocery",""
031,0000000000000,"oreo ccnt crml fam s",4.59,4.59,usd,0.00,"grocery",""
032,0000000000000,"blue drgn sushi wrap",5.39,5.39,usd,0.00,"grocery",""
033,0000000000000,"tost rstrnt style",4.29,3.34,usd,0.00,"grocery","Tostitos Restaurant Style Tortilla Chips"
034,0000000000000,"jas nat deod stck av",5.69,5.69,usd,0.00,"hbc",""
035,0000000000000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
036,0000000000000,"kvta org raspbry kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Raspberry Kombucha"
037,0000000000000,"kvta org pnpl kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Pineapple Kombucha"
038,0000000000000,"kvta org pnpl kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Pineapple Kombucha"
039,0000000000000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
040,0000000000000,"kvta org raspbry kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Raspberry Kombucha"
041,0000000000000,"fresh exp. cole slaw",1.99,1.99,usd,0.00,"produce",""
042,0000000000000,"fresh exp. cole slaw",1.99,1.99,usd,0.00,"produce",""
043,0000000000000,"fresh exp. cole slaw",1.99,1.99,usd,0.00,"produce",""
044,0000000000000,"o spry crsns blbry",2.79,2.79,usd,0.00,"produce",""
